token_id,metadata_cover
507,EPIC
508,RARE
509,RARE
510,UNCOMMON
511,UNCOMMON
512,UNCOMMON
513,UNCOMMON
514,UNCOMMON
515,UNCOMMON
516,UNCOMMON
517,UNCOMMON
518,UNCOMMON
519,UNCOMMON
520,UNCOMMON
521,UNCOMMON
522,UNCOMMON
7272,RARE
1321,RARE
1322,GOLD
1323,RARE
7531,UNCOMMON
524,UNCOMMON
525,UNCOMMON
526,RARE
527,UNCOMMON
528,UNCOMMON
529,UNCOMMON
530,EPIC
531,UNCOMMON
532,UNCOMMON
533,UNCOMMON
534,UNCOMMON
536,UNCOMMON
537,UNCOMMON
538,UNCOMMON
539,UNCOMMON
540,RARE
541,GOLD
542,UNCOMMON
543,RARE
544,UNCOMMON
545,RARE
546,UNCOMMON
547,UNCOMMON
548,UNCOMMON
549,UNCOMMON
550,UNCOMMON
551,RARE
553,UNCOMMON
554,UNCOMMON
555,UNCOMMON
556,UNCOMMON
557,UNCOMMON
558,RARE
559,UNCOMMON
560,UNCOMMON
561,RARE
562,GOLD
563,UNCOMMON
7450,UNCOMMON
523,UNCOMMON
535,RARE
552,UNCOMMON
564,UNCOMMON
565,UNCOMMON
566,UNCOMMON
567,UNCOMMON
568,RARE
569,RARE
570,UNCOMMON
571,UNCOMMON
572,UNCOMMON
574,RED
575,UNCOMMON
576,UNCOMMON
577,GOLD
578,UNCOMMON
579,UNCOMMON
580,GOLD
581,GOLD
582,UNCOMMON
583,UNCOMMON
584,GOLD
585,RARE
586,UNCOMMON
587,UNCOMMON
588,UNCOMMON
589,UNCOMMON
591,UNCOMMON
592,RARE
593,UNCOMMON
594,UNCOMMON
595,EPIC
596,RARE
597,UNCOMMON
598,UNCOMMON
599,GOLD
600,RARE
573,RARE
590,UNCOMMON
7543,UNCOMMON
602,PURPLE
603,UNCOMMON
604,RARE
605,RED
606,UNCOMMON
607,RARE
608,UNCOMMON
609,EPIC
610,UNCOMMON
612,UNCOMMON
613,UNCOMMON
614,GOLD
615,RARE
616,UNCOMMON
617,GOLD
618,RARE
619,EPIC
620,UNCOMMON
621,UNCOMMON
622,UNCOMMON
623,UNCOMMON
624,UNCOMMON
625,UNCOMMON
626,UNCOMMON
627,UNCOMMON
629,UNCOMMON
630,UNCOMMON
631,UNCOMMON
632,UNCOMMON
633,UNCOMMON
634,UNCOMMON
635,UNCOMMON
636,RARE
637,UNCOMMON
638,RARE
639,UNCOMMON
7289,RARE
641,UNCOMMON
642,UNCOMMON
643,UNCOMMON
644,GOLD
645,UNCOMMON
646,UNCOMMON
647,UNCOMMON
648,UNCOMMON
649,RARE
650,RARE
651,GOLD
653,RARE
654,UNCOMMON
655,EPIC
656,UNCOMMON
657,UNCOMMON
658,UNCOMMON
659,UNCOMMON
660,UNCOMMON
661,UNCOMMON
662,RARE
663,UNCOMMON
664,UNCOMMON
665,UNCOMMON
666,GOLD
667,EPIC
668,UNCOMMON
670,RARE
671,UNCOMMON
672,UNCOMMON
673,RARE
674,RARE
675,UNCOMMON
676,UNCOMMON
677,UNCOMMON
678,UNCOMMON
679,UNCOMMON
680,UNCOMMON
601,UNCOMMON
611,UNCOMMON
628,UNCOMMON
640,UNCOMMON
652,UNCOMMON
669,GOLD
681,UNCOMMON
682,UNCOMMON
683,UNCOMMON
684,UNCOMMON
685,UNCOMMON
686,UNCOMMON
687,UNCOMMON
688,UNCOMMON
689,UNCOMMON
690,UNCOMMON
691,RARE
692,UNCOMMON
693,UNCOMMON
694,UNCOMMON
695,UNCOMMON
696,RARE
697,UNCOMMON
698,UNCOMMON
699,UNCOMMON
700,UNCOMMON
701,UNCOMMON
702,UNCOMMON
703,UNCOMMON
704,UNCOMMON
705,RARE
7555,RARE
1329,RARE
1330,UNCOMMON
1331,RARE
1332,RARE
1333,UNCOMMON
1334,UNCOMMON
1335,UNCOMMON
7467,UNCOMMON
707,UNCOMMON
708,GOLD
709,RARE
710,RARE
711,UNCOMMON
712,UNCOMMON
713,RARE
714,UNCOMMON
715,UNCOMMON
716,UNCOMMON
717,UNCOMMON
719,UNCOMMON
720,RARE
721,UNCOMMON
722,GOLD
723,UNCOMMON
724,UNCOMMON
725,UNCOMMON
726,UNCOMMON
727,RARE
728,RARE
729,UNCOMMON
730,EPIC
731,UNCOMMON
732,RARE
733,UNCOMMON
734,UNCOMMON
736,EPIC
737,UNCOMMON
738,UNCOMMON
739,UNCOMMON
740,UNCOMMON
741,UNCOMMON
742,UNCOMMON
743,RARE
744,UNCOMMON
745,UNCOMMON
746,RARE
10541,GOLD
748,UNCOMMON
749,UNCOMMON
750,RARE
751,UNCOMMON
752,RARE
753,UNCOMMON
754,UNCOMMON
755,UNCOMMON
756,UNCOMMON
757,UNCOMMON
758,UNCOMMON
760,UNCOMMON
761,GOLD
762,RED
763,UNCOMMON
764,UNCOMMON
765,UNCOMMON
766,EPIC
767,RARE
768,UNCOMMON
769,UNCOMMON
770,UNCOMMON
771,EPIC
772,UNCOMMON
773,UNCOMMON
774,PURPLE
775,UNCOMMON
777,PURPLE
778,UNCOMMON
779,UNCOMMON
780,UNCOMMON
781,UNCOMMON
782,UNCOMMON
783,UNCOMMON
784,RARE
785,UNCOMMON
786,UNCOMMON
787,UNCOMMON
706,UNCOMMON
718,UNCOMMON
735,UNCOMMON
747,UNCOMMON
759,EPIC
776,RARE
788,UNCOMMON
789,UNCOMMON
790,UNCOMMON
791,UNCOMMON
792,UNCOMMON
793,UNCOMMON
794,UNCOMMON
795,UNCOMMON
796,UNCOMMON
797,RARE
798,RARE
799,UNCOMMON
800,UNCOMMON
801,UNCOMMON
802,UNCOMMON
803,UNCOMMON
804,GOLD
805,UNCOMMON
806,UNCOMMON
807,UNCOMMON
808,UNCOMMON
10712,UNCOMMON
1339,UNCOMMON
1340,UNCOMMON
1342,RARE
1343,RARE
1344,UNCOMMON
1345,UNCOMMON
1346,UNCOMMON
1347,RARE
1348,UNCOMMON
1349,UNCOMMON
1350,RARE
10454,UNCOMMON
810,RED
811,UNCOMMON
812,UNCOMMON
813,UNCOMMON
814,UNCOMMON
815,EPIC
816,GOLD
817,UNCOMMON
818,UNCOMMON
819,UNCOMMON
820,UNCOMMON
822,GOLD
823,UNCOMMON
824,UNCOMMON
825,UNCOMMON
826,UNCOMMON
827,UNCOMMON
828,GOLD
829,UNCOMMON
830,RARE
831,UNCOMMON
832,RARE
833,UNCOMMON
834,UNCOMMON
835,UNCOMMON
836,UNCOMMON
837,GOLD
839,UNCOMMON
840,RARE
841,UNCOMMON
842,RARE
843,UNCOMMON
